date,fed_sent_pos,fed_sent_neg,fed_sent_neu,fed_sent_net,n_articles
2025-08-20,5.898597805753525e-07,4.264688300281705e-07,0.999998927116394,1.63390950547182e-07,1
2025-08-22,0.09702027589082718,3.8752350519644096e-05,0.9029409885406494,0.09698152354030753,1
2025-08-26,1.4908335970176267e-06,1.5704754332546145e-06,0.9999969005584717,-7.964183623698773e-08,1
2025-08-29,0.002914701821282506,6.054618279449642e-05,0.9970248341560364,0.0028541556384880096,1
2025-09-03,0.33253157138824463,1.9494349544402212e-05,0.667448878288269,0.3325120770387002,1
2025-09-04,0.0005352268344722688,0.00034435628913342953,0.9991204142570496,0.0001908705453388393,1
2025-09-05,1.254124981642235e-05,6.158936116662517e-07,0.9999868869781494,1.1925356204756099e-05,1
2025-09-09,0.000299791237921454,0.00018323543008591514,0.9995169639587402,0.00011655580783553887,2
2025-09-16,2.4644305085530505e-05,5.893782144994475e-06,0.999969482421875,1.875052294053603e-05,1
2025-09-17,0.06192709505558014,0.00018297942006029189,0.9378898739814758,0.06174411563551985,1
2025-09-18,0.0007323894533328712,0.0010246050078421831,0.998242974281311,-0.0002922155545093119,1
2025-09-19,8.17304098745808e-05,3.986724095739191e-06,0.999914288520813,7.774368577884161e-05,1
2025-09-25,0.0009323998237960041,0.0017922917613759637,0.9972752928733826,-0.0008598919375799596,1
2025-09-30,7.667212776141241e-05,0.00024970388039946556,0.9996737241744995,-0.00017303175263805315,1
2025-10-01,0.0012748376466333866,0.00025323123554699123,0.9984719157218933,0.0010216064110863954,1
